Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Colombia;COL;1,6575E+11;1,74785E+11;1,85999E+11;2,00662E+11;2,16864E+11;2,3293E+11;2,4207E+11;2,54692E+11;2,59022E+11;2,51644E+11;2,64871E+11;2,75379E+11;2,86661E+11;3,03775E+11;3,28579E+11;3,55246E+11;3,90798E+11;4,28432E+11;4,51025E+11;4,58979E+11;4,85437E+11;5,29875E+11;5,52845E+11;5,89812E+11;6,21898E+11;6,26206E+11;6,65398E+11;6,93117E+11;7,47104E+11;8,07591E+11;7,85738E+11;8,89809E+11;1,07076E+12;1,09584E+12;1,13677E+12
South Africa;ZAF;2,60029E+11;2,66086E+11;2,66334E+11;2,7601E+11;2,90924E+11;3,06232E+11;3,25247E+11;3,39458E+11;3,44989E+11;3,58268E+11;3,81772E+11;4,00908E+11;4,22204E+11;4,43236E+11;4,75886E+11;5,16707E+11;5,6249E+11;6,08698E+11;6,40224E+11;6,34265E+11;6,61487E+11;6,96526E+11;6,98463E+11;7,31025E+11;7,42688E+11;7,59955E+11;7,7411E+11;7,91817E+11;7,82329E+11;7,96183E+11;7,67391E+11;8,4328E+11;9,2067E+11;9,60462E+11;9,8939E+11
Romania;ROU;1,2243E+11;1,1022E+11;1,02848E+11;1,06896E+11;1,13471E+11;1,23072E+11;1,29913E+11;1,25469E+11;1,24787E+11;1,25764E+11;1,31265E+11;1,44314E+11;1,55641E+11;1,6311E+11;1,92863E+11;2,04715E+11;2,44927E+11;2,86163E+11;3,44669E+11;3,38755E+11;3,51418E+11;3,78852E+11;3,97299E+11;3,93242E+11;4,10782E+11;4,28618E+11;4,70976E+11;5,27779E+11;5,76157E+11;6,51627E+11;6,62457E+11;7,21524E+11;8,04188E+11;8,72483E+11;9,28913E+11
Singapore;SGP;72567935288;80039818619;87299407293;99610026324;1,13025E+11;1,23675E+11;1,35349E+11;1,49133E+11;1,47505E+11;1,58146E+11;1,76346E+11;1,78386E+11;1,88265E+11;2,00714E+11;2,26599E+11;2,50919E+11;2,81954E+11;3,15718E+11;3,27798E+11;3,30242E+11;3,82788E+11;4,14967E+11;4,36192E+11;4,48607E+11;4,62494E+11;4,8241E+11;5,04105E+11;5,37341E+11;5,86216E+11;6,00787E+11;5,77214E+11;7,23237E+11;8,06629E+11;8,50876E+11;9,0969E+11
Belgium;BEL;1,86144E+11;1,95966E+11;2,035E+11;2,0632E+11;2,17526E+11;2,27383E+11;2,30929E+11;2,4158E+11;2,48635E+11;2,60169E+11;2,84863E+11;2,96218E+11;3,129E+11;3,20981E+11;3,34143E+11;3,47658E+11;3,7191E+11;3,91021E+11;4,05729E+11;4,09035E+11;4,34128E+11;4,55272E+11;4,71862E+11;4,89498E+11;5,06063E+11;5,19563E+11;5,48606E+11;5,71671E+11;5,9954E+11;6,51568E+11;6,47548E+11;7,02925E+11;7,96098E+11;8,1403E+11;8,56629E+11
United Arab Emirates;ARE;1,65048E+11;1,72098E+11;1,81907E+11;1,88567E+11;2,05875E+11;2,24249E+11;2,41596E+11;2,65891E+11;2,69664E+11;2,81417E+11;3,19025E+11;3,30772E+11;3,44087E+11;3,8176E+11;4,29528E+11;4,64504E+11;5,25932E+11;5,57383E+11;5,86255E+11;5,58945E+11;5,74806E+11;6,23132E+11;6,45567E+11;6,57868E+11;6,87052E+11;6,09998E+11;6,04925E+11;6,27578E+11;7,01668E+11;7,26239E+11;6,14384E+11;6,45376E+11;7,43309E+11;7,97922E+11;8,47957E+11
Switzerland;CHE;1,91005E+11;1,95656E+11;2,00027E+11;2,04511E+11;2,1153E+11;2,17004E+11;2,22747E+11;2,32006E+11;2,40728E+11;2,48201E+11;2,63628E+11;2,73454E+11;2,81956E+11;2,84293E+11;2,9689E+11;3,08825E+11;3,46323E+11;3,84575E+11;4,11512E+11;4,10201E+11;4,25928E+11;4,54912E+11;4,75341E+11;4,9876E+11;5,193E+11;5,40696E+11;5,63951E+11;5,76361E+11;6,01868E+11;6,32275E+11;6,30567E+11;7,05081E+11;8,01577E+11;8,04426E+11;8,47568E+11
Kazakhstan;KAZ;1,35074E+11;1,24282E+11;1,20377E+11;1,11893E+11;99882474776;93614609797;95805115257;99113997428;98323575365;1,02407E+11;1,1499E+11;1,33453E+11;1,48808E+11;1,65858E+11;1,86669E+11;2,11197E+11;2,41005E+11;2,69565E+11;2,83825E+11;2,89003E+11;3,13869E+11;3,44049E+11;3,69783E+11;4,1704E+11;4,26845E+11;4,06611E+11;4,22787E+11;4,47144E+11;4,75138E+11;5,51108E+11;5,65757E+11;6,5047E+11;7,19144E+11;7,83018E+11;8,40446E+11
Algeria;DZA;1,92912E+11;1,97042E+11;2,0516E+11;2,05613E+11;2,08113E+11;2,20551E+11;2,33796E+11;2,40444E+11;2,55547E+11;2,67456E+11;2,83908E+11;2,9901E+11;3,20054E+11;3,47587E+11;3,72996E+11;4,05465E+11;4,3009E+11;4,55436E+11;4,75816E+11;4,84496E+11;5,13922E+11;5,40261E+11;5,43661E+11;5,52043E+11;5,76084E+11;5,52564E+11;5,48946E+11;5,62537E+11;5,83472E+11;6,01471E+11;5,583E+11;6,48896E+11;7,20184E+11;7,76689E+11;8,21721E+11
Sweden;SWE;1,74445E+11;1,78277E+11;1,80227E+11;1,80688E+11;1,91797E+11;2,03627E+11;2,11679E+11;2,1948E+11;2,29199E+11;2,4356E+11;2,6288E+11;2,66427E+11;2,7656E+11;2,84796E+11;3,04066E+11;3,08797E+11;3,42151E+11;3,73373E+11;3,86365E+11;3,72621E+11;3,9347E+11;4,18907E+11;4,30342E+11;4,4256E+11;4,54179E+11;4,78055E+11;4,9903E+11;5,17711E+11;5,40532E+11;5,86374E+11;5,95212E+11;6,53402E+11;6,96077E+11;7,08682E+11;7,50771E+11
